team,player,bat_or_bowl,bb_bf,runs,wkts,wicketball_prob,runs_per_ball,opposition,ground,start_date,overs,mdns,econ,inns,4s,6s,sr,not_out,mins
AUS,PJ Cummins (AUS),bowl,45,62,2.0,0.044444444,1.377777778,v Pakistan,Bengaluru,2023-10-20,7.3,0.0,8.26,2,,,,,
PAK,Haris Rauf (PAK),bowl,60,62,2.0,0.033333333,1.033333333,v South Africa,Chennai,2023-10-27,10.0,0.0,6.2,2,,,,,
NZ,LH Ferguson (NZ),bowl,48,63,2.0,0.041666667,1.3125,v India,Dharamsala,2023-10-22,8.0,0.0,7.87,2,,,,,
PAK,Haris Rauf (PAK),bowl,60,64,2.0,0.033333333,1.066666667,v Sri Lanka,Hyderabad,2023-10-10,10.0,0.0,6.4,1,,,,,
AUS,PJ Cummins (AUS),bowl,60,66,2.0,0.033333333,1.1,v New Zealand,Dharamsala,2023-10-28,10.0,0.0,6.6,2,,,,,
AUS,MA Starc (AUS),bowl,60,66,2.0,0.033333333,1.1,v England,Ahmedabad,2023-11-04,10.0,0.0,6.6,2,,,,,
BAN,Hasan Mahmud (BAN),bowl,36,67,2.0,0.055555556,1.861111111,v South Africa,Wankhede,2023-10-24,6.0,0.0,11.16,1,,,,,
NED,A Dutt (NED),bowl,60,67,2.0,0.033333333,1.116666667,v England,Pune,2023-11-08,10.0,0.0,6.7,1,,,,,
SA,L Ngidi (SA),bowl,51,69,2.0,0.039215686,1.352941176,v Afghanistan,Ahmedabad,2023-11-10,8.3,0.0,8.11,1,,,,,
AUS,JR Hazlewood (AUS),bowl,54,70,2.0,0.037037037,1.296296296,v New Zealand,Dharamsala,2023-10-28,9.0,0.0,7.77,2,,,,,
